TOTAL DE PAÍSES,lat,lng,2176.0,2483.0,2843.0,3256.0,3699.0,4123.0,4512.0,4866.0,5169.0,5395.0,5522.0,5550.0,5469.0,5290.0,5036.0,4732.0,4401.0,4071.0,3765.0,3490.0,3251.0,3042.0,2858.0,2686.0,2521.0,2370.0,2231.0,2092.0,1962.0,1851.0,1750.0,1660.0,1588.0,1517.0,1438.0,1356.0,1279.0,1208.0,1142.0,1079.0,1026.0,987.0,947.0,904.0,872.0,840.0,799.0,755.0
TOTAL UNIÓN EUROPEA,,,696.0,862.0,1085.0,1187.0,1216.0,1329.0,1415.0,1450.0,1497.0,1512.0,1531.0,1567.0,1554.0,1526.0,1463.0,1385.0,1326.0,1247.0,1125.0,1025.0,995.0,936.0,896.0,839.0,791.0,743.0,687.0,655.0,616.0,592.0,521.0,477.0,481.0,482.0,486.0,480.0,459.0,431.0,405.0,390.0,354.0,335.0,337.0,316.0,318.0,336.0,311.0,295.0
Alemania,51.165691,10.451526,55.0,83.0,131.0,116.0,96.0,103.0,125.0,137.0,139.0,142.0,153.0,178.0,187.0,191.0,158.0,149.0,156.0,134.0,108.0,98.0,116.0,108.0,109.0,107.0,93.0,88.0,89.0,101.0,93.0,74.0,66.0,64.0,58.0,62.0,50.0,49.0,58.0,57.0,52.0,51.0,45.0,49.0,57.0,51.0,53.0,72.0,67.0,56.0
Austria,47.516231,14.550072,5.0,11.0,14.0,7.0,3.0,9.0,14.0,17.0,18.0,14.0,17.0,17.0,12.0,16.0,18.0,16.0,12.0,8.0,8.0,8.0,13.0,17.0,12.0,5.0,4.0,7.0,6.0,5.0,8.0,6.0,1.0,5.0,6.0,7.0,7.0,3.0,2.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,3.0,4.0,2.0,1.0
Bélgica,50.503887,4.469936,46.0,35.0,32.0,42.0,47.0,47.0,59.0,66.0,71.0,79.0,72.0,69.0,76.0,81.0,83.0,69.0,73.0,81.0,57.0,36.0,31.0,36.0,43.0,38.0,34.0,37.0,37.0,33.0,29.0,25.0,21.0,20.0,32.0,32.0,24.0,29.0,20.0,22.0,19.0,12.0,14.0,12.0,15.0,21.0,27.0,18.0,15.0,15.0
Bulgaria,42.733883,25.48583,48.0,56.0,55.0,69.0,58.0,45.0,61.0,74.0,75.0,90.0,100.0,91.0,94.0,79.0,58.0,65.0,80.0,77.0,51.0,46.0,51.0,52.0,52.0,38.0,49.0,54.0,50.0,41.0,31.0,41.0,37.0,30.0,40.0,41.0,39.0,35.0,28.0,27.0,23.0,20.0,17.0,20.0,19.0,15.0,21.0,18.0,11.0,13.0
Chipre,35.126413,33.429859,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinamarca,56.26392,9.501785,4.0,6.0,8.0,7.0,7.0,7.0,8.0,9.0,7.0,4.0,5.0,5.0,10.0,8.0,3.0,14.0,13.0,5.0,8.0,7.0,6.0,4.0,3.0,5.0,3.0,1.0,2.0,5.0,6.0,7.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,6.0,5.0
Eslovenia,46.151241,14.995463,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,58.595272,25.013607,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finlandia,61.92410999999999,25.748151,6.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,5.0,4.0,5.0,5.0,10.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Francia,46.227638,2.213749,83.0,94.0,102.0,111.0,140.0,151.0,128.0,161.0,199.0,193.0,189.0,190.0,170.0,164.0,193.0,179.0,153.0,148.0,133.0,126.0,132.0,112.0,97.0,93.0,86.0,90.0,79.0,63.0,58.0,52.0,47.0,49.0,47.0,38.0,40.0,46.0,50.0,48.0,35.0,31.0,37.0,41.0,38.0,25.0,27.0,32.0,31.0,36.0
